Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Guinea-Bissau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.041,1.155,1.166,1.237,1.321,1.414,1.511,1.621,2015
Guyana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.183,3.437,3.591,3.721,3.908,4.785,5.695,5.927,2016
Haiti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.672,8.257,7.897,7.805,7.892,8.091,8.416,8.837,2016
Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.729,21.364,21.79,22.312,23.05,23.812,24.72,25.846,2015
Hong Kong SAR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",309.402,320.668,332.266,342.037,355.711,368.996,383.895,399.167,2016
Hungary,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",121.664,125.675,125.297,130.376,135.57,140.766,145.377,149.73,2016
Iceland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.784,20.047,22.97,25.715,27.448,28.529,29.398,30.306,2016
India,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,088.16","2,256.40","2,454.46","2,685.70","2,959.67","3,252.72","3,577.13","3,935.27",2017
Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",861.143,932.448,"1,020.52","1,113.07","1,206.15","1,320.14","1,465.84","1,615.56",2016
Islamic Republic of Iran,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",374.306,376.755,368.488,385.434,410.29,439.289,470.653,503.874,2016
Iraq,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",179.833,167.026,189.432,200.169,209.566,221.241,234.435,249.089,2014
Ireland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",283.424,293.605,294.193,306.681,320.691,335.608,350.025,364.167,2016
Israel,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",299.413,318.386,339.99,353.304,368.527,383.907,399.468,415.172,2016
Italy,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,825.82","1,850.74","1,807.43","1,838.47","1,879.41","1,922.21","1,960.25","1,993.57",2016
Jamaica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.218,13.95,14.272,14.954,15.73,16.591,17.564,18.59,2015
Japan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","4,382.42","4,938.64","4,841.22","4,951.93","5,085.74","5,163.77","5,261.88","5,368.19",2016
Jordan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",37.57,38.743,40.506,42.557,44.798,47.25,49.884,52.665,2015
